Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy
BaCeMnNiO6,1.42,0.97,0.45,0.918295182,0.014774806,0.03653624,15.88710772,10.26580409,0.1068,0.72512,0.30896,0,0.00387,28.802511,0.05023,-144.012555
BaDyMnNiO6,1.42,1.027,0.393,0.928578645,0.016852153,0.053771516,13.50760133,13.7878408,1.40366,0.79846,1.08593,0,0.06093,26.94886,0.39116,-134.7443
BaGdMnNiO6,1.42,1.053,0.367,0.933269347,0.013253334,0.041831958,10.24035389,12.1770103,1.40751,1.64902,0.51972,0,0.09384,27.03974,0.73669,-135.1987
BaHfCrFeO6,1.42,0.83,0.59,0.844561451,0.020171973,0.052264009,15.1836935,14.01278663,0.75945,1.13876,0.58762,0,0.04957,25.5341449,0.46442,-127.6707245
BaHfMnNiO6,1.42,0.83,0.59,0.893037554,0.019173266,0.129822562,32.34218866,6.65626512,0.11138,0.62849,0.65551,0,0.0053,28.27422006,0.19216,-141.3711003
BaMgCrRuO6,1.42,0.89,0.53,0.859985444,0.023131939,0.096259311,26.23461089,11.25241404,0.26822,0.46696,0.40282,0,0.00278,26.15138494,0.0966,-130.7569247
BaMgCrZrO6,1.42,0.89,0.53,0.864180495,0.022206798,0.075817081,21.12965802,12.80711674,0.34664,0.38619,0.27647,0,0.00151,26.01782546,0.04883,-130.0891273
BaMgFeZrO6,1.42,0.89,0.53,0.868416674,0.014217485,0.046377193,11.65404075,10.97622594,0.38585,0.3458,0.21329,0,0.00088,26.55581274,0.02494,-132.7790637
BaMgCrMoO6,1.42,0.89,0.53,0.853768682,0.014433177,0.043829513,10.5828598,11.72676922,0.75523,0.76179,0.69745,0,0.0324,26.74552136,0.22069,-133.7276068
BaPbMnNiO6,1.42,0.94,0.48,0.912882833,0.027090612,0.062696061,20.12703312,15.84856297,0.59015,0.53361,0.42378,0,0.01633,24.0285498,0.11087,-120.142749
BaPbVCrO6,1.42,0.94,0.48,0.946693309,0.021281657,0.055374851,16.02470514,14.36181943,0.67269,0.6477,0.56061,0,0.02436,25.884266,0.16578,-129.42133
BaSmMnNiO6,1.42,1.079,0.341,0.93796005,0.006228173,0.016937305,2.178423487,9.145335145,0.42506,0.30542,0.15012,0,0.00025,27.0938,0.00105,-135.469
BaTbCrMoO6,1.42,0.88,0.54,0.843930285,0.014648869,0.041281833,9.511678848,12.4773125,1.04728,1.28513,0.53534,0,0.03032,26.93523,0.61417,-134.67615
BaTbMnNiO6,1.42,0.88,0.54,0.902058136,0.015472703,0.048053642,11.92237716,12.8750759,1.12662,1.20035,0.83272,0,0.05394,27.7399822,0.4325,-138.699911
BaTbNiCrO6,1.42,0.88,0.54,0.882913331,0.040621135,0.052035301,18.0613877,13.7034537,1.12955,1.31576,0.56756,0,0.04225,26.5827848,0.68346,-132.913924
BaTmMnNiO6,1.42,0.994,0.426,0.922625061,0.023069566,0.065626362,16.84493421,15.80928985,1.13247,1.43117,0.30239,0,0.03056,26.77666,0.93443,-133.8833
BaZrMnNiO6,1.42,0.84,0.58,0.894841671,0.015501408,0.12198361,30.31646913,5.832602428,1.13317,1.41823,0.3548,0,0.11078,27.84389736,0.58051,-139.2194868
BaZrNiFeO6,1.42,0.84,0.58,0.869338129,0.043597435,0.055940543,23.70775586,19.04675033,1.29354,1.56287,0.35945,0,0.08228,25.7547064,0.75552,-128.773532
BiCaMnNiO6,1.17,1.12,0.05,0.90025402,0.065769567,0.05601696,24.20039825,14.5318315,0.64065,0.86275,0.70658,0,0.00686,25.4255874,0.29781,-127.127937
BiMgMnNiO6,1.17,0.89,0.28,0.858759345,0.064125304,0.046254725,30.57057752,22.28421081,1.45391,1.7075,0.3641,0,0.05378,24.7327528,0.93053,-123.663764
BiSnMnNiO6,1.17,0.81,0.36,0.844326415,0.054733189,0.067716081,22.96442264,19.9638625,0.64133,0.96996,0.39371,0,0.00747,24.9151012,0.33117,-124.575506
BiZnMnNiO6,1.17,0.9,0.27,0.860563462,0.059999671,0.033452809,32.05148532,22.52500063,0.66804,0.91081,0.65583,0,0.01032,23.584448,0.29787,-117.92224
CaCeCoFeO6,1.12,0.97,0.15,0.828252577,0.058504223,0.06345916,29.09472489,21.99565929,0.80068,1.06348,0.60171,0,0.02094,26.042724,0.46412,-130.21362
CaCeMnNiO6,1.12,0.97,0.15,0.864171694,0.053705337,0.058316283,21.09192116,14.49727681,1.13452,1.52247,0.36987,0,0.03849,29.1298468,0.92568,-145.649234
CaHfCrFeO6,1.12,0.83,0.29,0.793375908,0.051220272,0.062415085,21.64616636,15.58264114,0.93333,1.21614,0.54759,0,0.03156,27.03591172,0.63037,-135.1795586
CaHfCrMoO6,1.12,0.83,0.29,0.784855165,0.05489548,0.077072382,23.62028891,18.02939974,0.92572,1.16168,0.59889,0,0.02794,27.55506586,0.55405,-137.7753293
