,Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy,label_barrier
0,KGdFeWO6,1.51,1.053,0.457,0.912270849,0.018908834,0.061208445,20.83635507,6.539958012,1.17254,1.05566,0.74977,0.0,0.04454,30.913158,0.60662,-154.56579,0
1,KGdMnWO6,1.51,1.053,0.457,0.901226408,0.020487274,0.06661458,24.08307612,6.568655021,1.1593,1.53062,0.45872,0.0,0.05709,31.7280812,0.46237,-158.640406,0
2,KGdVWO6,1.51,1.053,0.457,0.944686564,0.02178115,0.059717334,18.72549518,8.119167697,1.03282,1.40131,0.35108,0.0,0.04243,32.066252,0.50034,-160.33126,0
3,KSmCrZrO6,1.51,1.079,0.431,0.912305516,0.022569013,0.062771887,19.92887214,7.364294429,1.03306,1.29291,0.72436,0.0,0.04527,31.4202391,0.41038,-157.1011955,0
4,KSmFeZrO6,1.51,1.079,0.431,0.916777602,0.022435783,0.059830679,19.89587413,6.873860352,1.18818,1.21099,0.83286,0.0,0.04384,30.52764006,0.98966,-152.6382003,0
5,KSmVRuO6,1.51,1.079,0.431,0.93046085,0.023774874,0.0644626,21.47369931,6.737605798,1.20016,1.18451,1.09765,0.0,0.0481,31.47116542,0.61474,-157.3558271,0
6,KYCoWO6,1.51,1.019,0.491,0.914219976,0.023356875,0.06582644,21.13224911,6.609421161,1.21683,1.78493,0.26845,0.0,0.05997,30.7742262,0.62667,-153.871131,0
7,KYCrWO6,1.51,1.019,0.491,0.901956049,0.025113965,0.069094522,23.05152449,6.601351245,1.2531,1.39051,0.76434,0.0,0.04687,32.4146908,0.74377,-162.073454,0
8,KYFeWO6,1.51,1.019,0.491,0.906377402,0.018793326,0.066038701,22.79470353,6.233872781,1.03294,1.45009,0.59022,0.0,0.04923,31.5474278,0.45536,-157.737139,0
9,KYMnWO6,1.51,1.019,0.491,0.89540431,0.021923434,0.069392402,24.93023858,6.597268366,1.19417,1.88888,0.63074,0.0,0.12084,32.3569108,0.8022,-161.784554,0
10,KYVReO6,1.51,1.019,0.491,0.950647764,0.025428212,0.059521758,17.98211935,6.12358603,1.2579,1.21275,0.42038,0.0,0.03333,30.9740554,0.40795,-154.870277,0
11,KYVWO6,1.51,1.019,0.491,0.938583706,0.023712087,0.063378728,19.79879518,6.669140085,1.28589,1.21839,0.45915,0.0,0.03409,32.6900916,1.03983,-163.450458,0
12,LaDyNiCrO6,1.16,1.027,0.133,0.877196132,0.022502398,0.061301283,19.91237314,7.119077391,1.0692,1.66948,0.61048,0.0,0.08503,30.97393958,0.33129,-154.8696979,0
13,NaDyFeZrO6,1.18,1.027,0.153,0.850562997,0.041818804,0.071597463,26.57211193,15.59592178,1.2394,1.25181,0.59381,0.0,0.03859,31.93143116,0.7319,-159.6571558,0
14,NaLuCrWO6,1.18,0.977,0.203,0.837789354,0.044000218,0.075521345,27.56510833,16.22062359,0.99137,1.39884,0.39193,0.0,0.02828,32.024283,0.68845,-160.121415,0
