,Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy,label_barrier
0,MgPbCrFeO6,0.89,0.94,0.05,0.784253981,0.040933426,0.076029019,28.54370573,14.74161684,1.15239,1.43949,0.39773,0.0,0.05658,31.2234643,0.44677,-156.1173215,0
1,MgPbFeMoO6,0.89,0.94,0.05,0.77570884,0.042088839,0.075448111,27.66655789,14.71883274,1.2055,1.31336,0.39242,0.0,0.05166,32.1723229,0.92704,-160.8616145,0
2,CaCeO3/BaCeO3,1.18,1.47,0.29,0.41122522,0.01188466,0.057157951,5.02407196,8.099107938,1.1485,1.5651,0.04255,0.03849,0.0,38.186197,1.98237,-134.8407,0
3,CeSbO3/DySbO3,1.196,1.083,0.113,0.42519409,0.062944239,0.045880626,22.82494131,18.55827823,1.242735,1.7922,0.09389,0.05444,0.0,42.0433,2.07186,-126.272914,0
4,CeSbO3/ErSbO3,1.196,1.062,0.134,0.435052431,0.060481038,0.065168928,20.17819524,15.00043758,1.26339,1.89751,0.25137,0.01771,0.0,43.93538,1.6762,-140.7433,0
5,CeSbO3/HoSbO3,1.196,1.072,0.124,0.430336662,0.068331962,0.085572455,16.45288419,17.76735277,1.25751,1.8486,0.237815,0.01724,0.0,43.322992,1.668615,-129.2762375,0
6,CeSbO3/TmSbO3,1.196,1.052,0.144,0.439807465,0.060114104,0.071379839,17.36650669,16.15290175,1.26369,1.9035,0.2310375,0.017005,0.0,44.194,1.6598,-130.2368,0
7,CeSbO3/YbSbO3,1.196,1.042,0.154,0.444602257,0.054296338,0.056157793,18.57846668,17.73337573,1.2804,1.91288,0.22426,0.01677,0.0,44.5352,1.66103,-115.2057,0
8,CeScO3/EuScO3,1.196,1.12,0.076,0.408232498,0.068403889,0.085023101,17.72211131,17.2296988,1.18067,1.64266,0.05443,0.05467,0.0,40.113947,2.05761,-124.0923741,0
9,CeScO3/GdScO3,1.196,1.107,0.089,0.414133764,0.050954077,0.060851158,21.17100484,16.26871237,1.2021,1.6678,0.26364,0.01542,0.0,40.404507,1.55119,-140.576474,0
10,CeScO3/LuScO3,1.196,1.032,0.164,0.449437308,0.062478991,0.083996254,17.9995587,18.68540335,1.25751,1.8498,0.15939,0.11752,0.0,43.526046,2.05471,-136.46594,0
11,CeScO3/SmScO3,1.196,1.132,0.064,0.402840044,0.050167035,0.070439105,21.49036582,15.68514393,1.1709,1.6364,0.24761,0.02342,0.0,39.862593,1.75412,-148.34078,0
12,CeScO3/TmScO3,1.196,1.052,0.144,0.439807465,0.07333122,0.058533354,22.90648693,15.92289043,1.23085,1.7267,0.22476,0.02219,0.0,41.852601,1.74438,-148.40079,0
13,CeScO3/YbScO3,1.196,1.042,0.154,0.444602257,0.068024544,0.056450242,21.58701896,14.81062741,1.2521,1.8032,0.20172,0.0206,0.0,42.416427,1.7343,-126.03162,0
14,DySbO3/ErSbO3,1.083,1.062,0.021,0.401925123,0.031958551,0.068006943,20.8025071,14.18751475,1.69826,2.27889,0.16923,0.0562,0.0,55.965305,2.13519,-138.002134,0
15,LaSbO3/ErSbO3,1.216,1.062,0.154,0.440915671,0.023969923,0.541324087,11.31112192,13.18453481,1.25097,1.7978,0.65551,0.07588,0.0,42.26583,2.05444,-161.784554,0
16,LaSbO3/EuSbO3,1.216,1.12,0.096,0.413958059,0.019063211,0.544232656,13.92831694,14.95530457,1.2021,1.67844,1.41731,0.0053,0.0,40.432734,2.10649,-134.294095,0
17,LaSbO3/SmSbO3,1.216,1.132,0.084,0.408537923,0.023603318,0.55034267,14.11114433,14.90286527,1.1995,1.66044,0.43029,0.04243,0.0,40.268997,1.67411,-150.656341,0
18,LaSbO3/TmSbO3,1.216,1.052,0.164,0.445695115,0.02539266,0.548269873,13.48181235,14.96026976,1.25462,1.8444,0.37407,0.07583,0.0,43.277083,2.27508,-149.957425,0
19,LaSbO3/YbSbO3,1.216,1.042,0.174,0.450514521,0.020471475,0.547326423,13.47847951,15.50187279,1.2598,1.8596,0.27114,0.03648,0.0,43.675421,1.46462,-154.870277,0
20,LaScO3/EuScO3,1.216,1.12,0.096,0.413958059,0.023354438,0.546425398,12.9203207,13.67798088,1.1637,1.6085,0.71871,0.02326,0.0,39.524791,2.18603,-163.450458,0
21,LaScO3/GdScO3,1.216,1.107,0.109,0.419889619,0.021259087,0.544900003,12.57524967,13.5081314,1.1759,1.6425,0.25311,0.08925,0.0,39.893517,2.2616,-148.98173,0
22,LaScO3/SmScO3,1.216,1.132,0.084,0.408537923,0.019187055,0.544219666,12.60467899,13.35171004,1.1517,1.5937,0.61115,0.01514,0.0,38.445081,2.02348,-149.43983,0
23,LaScO3/TbScO3,1.216,1.095,0.121,0.42542089,0.023815985,0.539990296,10.96973757,12.53094263,1.2021,1.66479,0.64512,0.07166,0.0,40.36144,0.30153,-148.71233,0
24,LuScO3/BiScO3,1.032,1.24,0.208,0.425356126,0.065510005,0.072737961,22.77807471,21.18015983,1.2162,1.7098,0.3256,0.00025,0.0,41.425593,1.4611,-115.0192741,0
25,YbGaO3/LuGaO3,1.042,1.032,0.01,0.403721756,0.017461339,0.538529153,9.817911587,13.63969299,1.01479,1.505,0.03637,0.1688,0.0,35.52937,2.2283,-146.133671,0
26,YbSbO3/BiSbO3,1.042,1.24,0.198,0.422625984,0.013691436,0.538051945,9.029973913,14.0685299,1.2367925,1.78493,0.24495,0.1688,0.0,41.876474,1.48477,-151.524938,0
27,YGaO3/LuGaO3,1.075,1.032,0.043,0.413517946,0.014421983,0.53932944,9.339758589,12.80330682,0.8739,1.4453,0.22345,0.0479,0.0,33.622494,1.43776,-149.57243,0
28,YGaO3/YbGaO3,1.075,1.042,0.033,0.40883306,0.014988245,0.533483915,6.886133461,12.16752281,0.8303,1.40131,0.00025,0.097,0.0,32.0081,1.53224,-161.214946,0
29,YSbO3/BiSbO3,1.075,1.24,0.165,0.413616515,0.013835129,0.536418266,7.655714712,13.81612297,1.2158,1.7098,0.18981,0.0729,0.0,41.031616,2.43151,-158.388929,0
30,YSbO3/TmSbO3,1.075,1.052,0.023,0.404187182,0.027139764,0.060181918,12.47668311,9.291748432,1.89379,2.33626,0.2058,0.0341,0.0,60.699286,0.88947,-142.63538,0
31,YSbO3/YbSbO3,1.075,1.042,0.033,0.40883306,0.04937227,0.077892713,10.2432348,15.25875506,1.90756,2.36672,2.0955,0.04275,0.0,61.085194,0.76918,-139.104507,0
32,YScO3/BiScO3,1.075,1.24,0.165,0.413616515,0.030398072,0.067614993,12.81266487,9.938992673,1.192,1.6555,0.21215,0.02987,0.0,40.232353,0.653245,-120.87188,0
33,YScO3/LaScO3,1.075,1.216,0.141,0.410871477,0.032770753,0.071655084,12.92232254,10.39840101,1.2021,1.70766,0.16841,0.09723,0.0,40.466269,0.4166,-139.268535,0
34,YScO3/LuScO3,1.075,1.032,0.043,0.413517946,0.04738232,0.076053629,10.25144945,14.46828348,1.7362,2.28117,0.00911,0.05339,0.0,56.558375,0.4166,-140.1315122,0
35,YScO3/TmScO3,1.075,1.052,0.023,0.404187182,0.0759077,0.065674276,22.47567339,19.41849571,1.44388,2.1495,0.186845,0.02056,0.0,51.25446,2.45875,-138.935591,0
