,Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy,label_barrier
0,BaTeO3/NdTeO3,1.47,1.35,0.12,0.384980359,0.017956281,0.054958986,7.278860534,9.40366622,1.21135,1.7098,0.1121325,0.06978,0.0,40.81018691,2.156975,-143.2352,0
1,CaCeO3/EuCeO3,1.18,1.3,0.12,0.392244139,0.011107933,0.053621533,5.330007934,7.416748591,1.29164,1.9253,0.06295,0.03866,0.0,46.425541,1.98864,-135.2976,0
2,CaCeO3/NdCeO3,1.18,1.35,0.17,0.398074929,0.013761491,0.065435697,24.12219138,12.00480139,1.25268,1.819,0.06609,0.037075,0.0,42.96454721,1.963135,-141.6645472,0
3,CaCeO3/SmCeO3,1.18,1.32,0.14,0.394602661,0.013761491,0.065435697,24.12709884,12.00182369,1.27699,1.90766,0.06923,0.03549,0.0,44.410622,1.93763,-120.0465584,0
4,CaCeO3/SrCeO3,1.18,1.31,0.13,0.393427833,0.012573944,0.058758056,4.511629401,8.455714654,1.28428,1.9181,0.04656,0.03402,0.0,45.137092,1.9338,-135.3766,0
5,CaPbO3/EuPbO3,1.18,1.3,0.12,0.392244139,0.005689711,0.047447325,20.39482673,8.219798535,0.8796,1.4497,0.06176,0.05126,0.0,33.98467,1.9995,-134.8607192,0
6,CaPbO3/NdPbO3,1.18,1.35,0.17,0.398074929,0.009650868,0.047739059,5.307620124,6.525845998,0.7993,1.3796,0.54153,0.08586,0.0,30.57623752,2.11771,-133.7023,0
7,CaPbO3/SmPbO3,1.18,1.32,0.14,0.394602661,0.003560992,0.053095482,2.398192903,6.951103045,0.82939,1.3947,0.58055,0.10852,0.0,31.27752,2.10787,-138.7651969,0
8,CeErO3/BiErO3,1.196,1.24,0.044,0.380581797,0.011363378,0.055762488,5.337322779,7.730231075,1.7417,2.2934,0.08647,0.07356,0.0,57.465557,2.39289,-127.434869,0
9,CeInO3/PrInO3,1.196,1.179,0.017,0.382212325,0.013588852,0.060861575,4.422476583,18.90970755,1.23893,1.7914,0.0938,0.06356,0.0,42.020668,2.34901,-124.083912,0
10,CeLuO3/BiLuO3,1.196,1.24,0.044,0.380581797,0.022883039,0.065563132,2.683500772,12.81600424,1.32283,1.95216,0.07808,0.05473,0.0,47.832959,2.33831,-124.705831,0
11,CeLuO3/NdLuO3,1.196,1.163,0.033,0.389147902,0.066945515,0.058749546,22.44180609,16.9172707,1.89061,2.3142,0.04432,0.06862,0.0,59.688929,2.37107,-118.028907,0
12,CeLuO3/PrLuO3,1.196,1.179,0.017,0.382212325,0.066531952,0.066137911,20.98145765,18.79314628,1.7051,2.28,0.32001,0.02154,0.0,55.966114,1.70747,-145.874466,0
